deviceId,PM2.5,lat,lon,time
10373889480,22.84295,,,2025-12-04 00:00:00
10373889480,22.84295,,,2025-12-04 00:01:00
10373889480,23.82795,,,2025-12-04 00:02:00
10373889480,22.90209,,,2025-12-04 00:03:00
10373889480,21.91709,,,2025-12-04 00:04:00
10373889480,21.91709,,,2025-12-04 00:05:00
10373889480,22.84295,,,2025-12-04 00:06:00
10373889480,21.85795,,,2025-12-04 00:07:00
10373889480,21.85795,,,2025-12-04 00:08:00
10373889480,22.84295,,,2025-12-04 00:09:00
10373889480,22.84295,,,2025-12-04 00:10:00
10373889480,22.84295,,,2025-12-04 00:11:00
10373889480,21.85795,,,2025-12-04 00:12:00
10373889480,21.85795,,,2025-12-04 00:13:00
10373889480,21.85795,,,2025-12-04 00:14:00
10373889480,21.85795,,,2025-12-04 00:15:00
10373889480,21.85795,,,2025-12-04 00:16:00
10373889480,21.82885,,,2025-12-04 00:17:00
10373889480,22.7673,,,2025-12-04 00:18:00
10373889480,22.7673,,,2025-12-04 00:19:00
10373889480,21.70569,,,2025-12-04 00:20:00
10373889480,21.70569,,,2025-12-04 00:21:00
10373889480,21.70569,,,2025-12-04 00:22:00
10373889480,21.70569,,,2025-12-04 00:23:00
10373889480,21.70569,,,2025-12-04 00:24:00
10373889480,21.70569,,,2025-12-04 00:25:00
10373889480,22.69069,,,2025-12-04 00:26:00
10373889480,22.69069,,,2025-12-04 00:27:00
10373889480,21.70569,,,2025-12-04 00:28:00
10373889480,21.70569,,,2025-12-04 00:29:00
10373889480,21.70569,,,2025-12-04 00:30:00
10373889480,21.70569,,,2025-12-04 00:31:00
10373889480,22.7547,,,2025-12-04 00:32:00
10373889480,21.7988,,,2025-12-04 00:33:00
10373889480,21.7988,,,2025-12-04 00:34:00
10373889480,21.7988,,,2025-12-04 00:35:00
10373889480,21.7988,,,2025-12-04 00:36:00
10373889480,21.7988,,,2025-12-04 00:37:00
10373889480,21.75806,,,2025-12-04 00:38:00
10373889480,21.75806,,,2025-12-04 00:39:00
10373889480,21.70569,,,2025-12-04 00:40:00
10373889480,21.64654,,,2025-12-04 00:41:00
10373889480,20.66154,,,2025-12-04 00:42:00
10373889480,20.80798,,,2025-12-04 00:43:00
10373889480,20.72651,,,2025-12-04 00:44:00
10373889480,21.70569,,,2025-12-04 00:45:00
10373889480,20.66154,,,2025-12-04 00:46:00
10373889480,19.67654,,,2025-12-04 00:47:00
10373889480,19.67654,,,2025-12-04 00:48:00
10373889480,22.63154,,,2025-12-04 00:49:00
10373889480,24.18169,,,2025-12-04 00:50:00
10373889480,24.18169,,,2025-12-04 00:51:00
10373889480,20.66154,,,2025-12-04 00:52:00
10373889480,20.66154,,,2025-12-04 00:53:00
10373889480,22.63154,,,2025-12-04 00:54:00
10373889480,22.63154,,,2025-12-04 00:55:00
10373889480,20.66154,,,2025-12-04 00:56:00
10373889480,21.64654,,,2025-12-04 00:57:00
10373889480,19.67654,,,2025-12-04 00:58:00
10373889480,21.64654,,,2025-12-04 00:59:00
10373889480,20.66154,,,2025-12-04 01:00:00
10373889480,20.66154,,,2025-12-04 01:01:00
10373889480,22.63154,,,2025-12-04 01:02:00
10373889480,22.63154,,,2025-12-04 01:03:00
10373889480,20.66154,,,2025-12-04 01:04:00
10373889480,21.64654,,,2025-12-04 01:05:00
10373889480,22.63154,,,2025-12-04 01:06:00
10373889480,22.63154,,,2025-12-04 01:07:00
10373889480,22.63154,,,2025-12-04 01:08:00
10373889480,22.57239,,,2025-12-04 01:09:00
10373889480,21.58739,,,2025-12-04 01:10:00
10373889480,21.58739,,,2025-12-04 01:11:00
10373889480,21.58739,,,2025-12-04 01:12:00
10373889480,20.60239,,,2025-12-04 01:13:00
10373889480,20.60239,,,2025-12-04 01:14:00
10373889480,20.60239,,,2025-12-04 01:15:00
10373889480,20.60239,,,2025-12-04 01:16:00
10373889480,21.58739,,,2025-12-04 01:17:00
10373889480,20.60239,,,2025-12-04 01:18:00
10373889480,22.57239,,,2025-12-04 01:19:00
10373889480,21.58739,,,2025-12-04 01:20:00
10373889480,20.60239,,,2025-12-04 01:21:00
10373889480,21.58739,,,2025-12-04 01:22:00
10373889480,21.58739,,,2025-12-04 01:23:00
10373889480,21.58739,,,2025-12-04 01:24:00
10373889480,21.58739,,,2025-12-04 01:25:00
10373889480,20.60239,,,2025-12-04 01:26:00
10373889480,20.60239,,,2025-12-04 01:27:00
10373889480,21.58739,,,2025-12-04 01:28:00
10373889480,20.60239,,,2025-12-04 01:29:00
10373889480,20.60239,,,2025-12-04 01:30:00
10373889480,20.60239,,,2025-12-04 01:31:00
10373889480,20.60239,,,2025-12-04 01:32:00
10373889480,19.61739,,,2025-12-04 01:33:00
10373889480,19.61739,,,2025-12-04 01:34:00
10373889480,20.60239,,,2025-12-04 01:35:00
10373889480,20.60239,,,2025-12-04 01:36:00
10373889480,21.58739,,,2025-12-04 01:37:00
10373889480,19.61739,,,2025-12-04 01:38:00
10373889480,20.60239,,,2025-12-04 01:39:00
10373889480,20.60239,,,2025-12-04 01:40:00
10373889480,21.58739,,,2025-12-04 01:41:00
10373889480,19.61739,,,2025-12-04 01:42:00
10373889480,20.60239,,,2025-12-04 01:43:00
10373889480,20.60239,,,2025-12-04 01:44:00
10373889480,20.60239,,,2025-12-04 01:45:00
10373889480,20.60239,,,2025-12-04 01:46:00
10373889480,20.60239,,,2025-12-04 01:47:00
10373889480,19.61739,,,2025-12-04 01:48:00
10373889480,20.54325,,,2025-12-04 01:49:00
10373889480,20.60239,,,2025-12-04 01:50:00
